iso_code,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,median_age,gdp_per_capita,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,oecd_mei_index
BEL,Belgium,2020-05,58381.0,9862.0,11244.999,9467.0,1873.0,2203.5699999999993,5037.354,850.936,970.2660000000001,816.852,161.609,190.13200000000006,0.7148387096774197,76.55225806451612,11589616.0,41.8,42658.576,25.1,31.4,5.64,81.63,0.931,94.6123353277482
BEL,Belgium,2020-06,61427.0,3046.0,3348.1440000000007,9747.0,280.0,339.1429999999999,5300.176,262.823,288.891,841.011,24.156999999999996,29.262,0.8463333333333334,57.06666666666663,11589616.0,41.8,42658.576,25.1,31.4,5.64,81.63,0.931,96.8121042877742
BEL,Belgium,2020-07,68751.0,7324.0,5804.572,9841.0,94.0,98.856,5932.121,631.947,500.843,849.122,8.109,8.534,1.3206451612903225,51.343870967741935,11589616.0,41.8,42658.576,25.1,31.4,5.64,81.63,0.931,98.4264776836635
BEL,Belgium,2020-08,85236.0,16485.0,16981.574,9895.0,54.0,72.99799999999999,7354.515,1422.3940000000005,1465.2400000000002,853.782,4.658999999999999,6.298999999999999,1.1106451612903225,59.01806451612901,11589616.0,41.8,42658.576,25.1,31.4,5.64,81.63,0.931,99.4553557809937
BEL,Belgium,2020-09,118452.0,33216.0,29977.142,10016.0,121.0,80.997,10220.528,2866.0129999999995,2586.552,864.222,10.44,6.9910000000000005,1.3066666666666669,52.59466666666665,11589616.0,41.8,42658.576,25.1,31.4,5.64,81.63,0.931,99.6429209175879
BEL,Belgium,2020-10,429229.0,310777.0,258075.71099999998,11625.0,1609.0,1201.4289999999999,37035.653,26815.125000000004,22267.838999999996,1003.053,138.832,103.66600000000001,1.4283870967741936,49.909677419354864,11589616.0,41.8,42658.576,25.1,31.4,5.64,81.63,0.931,99.8030580445363
BEL,Belgium,2020-11,577345.0,148116.0,198478.14199999993,16645.0,5020.0,5132.002,49815.714,12780.061999999998,17125.516,1436.199,433.145,442.8100000000001,0.7460000000000002,64.50633333333339,11589616.0,41.8,42658.576,25.1,31.4,5.64,81.63,0.931,99.9733388144672
BEL,Belgium,2020-12,646496.0,69151.0,70359.00000000001,19528.0,2883.0,2969.286,55782.349,5966.635,6070.866,1684.957,248.757,256.204,0.9016129032258066,60.19000000000004,11589616.0,41.8,42658.576,25.1,31.4,5.64,81.63,0.931,100.244098186412
BEL,Belgium,2021-01,710153.0,63657.0,61524.715,21092.0,1564.0,1681.8579999999997,61274.938,5492.589,5308.608,1819.905,134.948,145.11599999999996,1.0264516129032257,60.19000000000004,11589616.0,41.8,42658.576,25.1,31.4,5.64,81.63,0.931,100.390320060024
CAN,Canada,2020-05,92479.0,38022.0,40261.71200000001,7906.0,3727.0,4099.999,2450.284,1007.4119999999999,1066.7590000000002,209.474,98.75099999999999,108.632,0.896774193548387,71.42999999999996,37742157.0,41.4,44017.591,12.0,16.6,2.5,82.43,0.929,96.8464042554056
